"Country","ISO","Population","PopDensity","IncHIV1","PrevHIV","HDI","Vaccine","ARTCov","MedianAge","LifeExpect","GDPperCapita"
"Afghanistan","AFG",38928300,54.42,10.67567776,18.53833821,0.511,"OPV",10,18.6,64.83,1804
"Angola","AGO",32866300,23.89,106.7926424,3126.479017,0.581,"OPV",28,16.8,61.15,5820
"Albania","ALB",2877800,104.87,0.704429612,1.059594923,0.795,"OPV",44,38,78.57,11803
"Andorra","AND",77265,163.76,13.27174697,113.538272,0.868,"IPV",NA,NA,83.73,NA
"United Arab Emirates","ARE",9890400,112.44,6.582833531,17.85177942,0.89,"OPV",48,34,77.97,67294
"Argentina","ARG",45195800,16.18,149.329272,531.7824346,0.845,"OPV",65,31.9,76.67,18934
"Armenia","ARM",2963230,102.93,12.18538715,52.61592928,0.776,"OPV",48,35.7,75.09,8788
"American Samoa","ASM",NA,NA,7.34044877,42.27528723,NA,NA,NA,NA,NA,NA
"Antigua and Barbuda","ATG",97928,231.85,59.95267921,335.8988329,0.778,"OPV",NA,32.1,77.02,21491
"Australia","AUS",25499900,3.2,2.882206208,36.80974086,0.944,"IPV",82,37.9,83.44,44649
"Austria","AUT",9006400,106.75,4.39266496,132.9897518,0.922,"IPV",NA,44.4,81.54,45437
"Azerbaijan","AZE",10139200,119.31,4.591261317,27.64699336,0.756,"OPV",52,32.4,73,15847
"Burundi","BDI",11890800,423.06,104.9874835,1323.868087,0.433,"OPV",86,17.5,61.58,702
"Belgium","BEL",11589600,375.56,7.387813375,171.6737254,0.931,"IPV",NA,41.8,81.63,42659
"Benin","BEN",12123200,99.11,59.10159622,1133.338199,0.545,"OPV",65,18.8,61.77,2064
"Burkina Faso","BFA",20903300,70.15,72.38672381,744.9807506,0.452,"OPV",69,17.6,61.58,1703
"Bangladesh","BGD",164689000,1265.04,2.19467208,6.262389126,0.632,"OPV",NA,27.5,72.59,3524
"Bulgaria","BGR",6948440,65.18,2.282987186,18.31514966,0.816,"IPV",NA,44.7,75.05,18563
"Bahrain","BHR",1701580,1935.91,1.422847361,15.24305556,0.852,"OPV",NA,32.4,77.29,43291
"Bahamas","BHS",393248,39.5,34.68098926,1450.413046,0.814,"OPV",64,34.3,73.92,27718
"Bosnia and Herzegovina","BIH",3280820,68.5,0.310666427,1.359935159,0.78,"OPV",NA,42.5,77.4,11714
"Belarus","BLR",9449320,46.86,8.928841864,271.6949333,0.823,"IPV",64,40.3,74.79,17168
"Belize","BLZ",397621,16.43,96.3352582,828.302165,0.716,"OPV",41,25,74.62,7824
"Bermuda","BMU",62273,1308.82,47.36819941,313.9124343,NA,"IPV",NA,NA,82.59,50669
"Bolivia (Plurinational State of)","BOL",11673000,10.2,65.49554132,149.3981846,0.718,"OPV",69,25.4,71.51,6886
"Brazil","BRA",212559000,25.04,43.38759378,396.3304435,0.765,"OPV",68,33.5,75.88,14104
"Barbados","BRB",287371,664.46,13.65355526,561.8861667,0.814,"OPV",NA,39.8,79.19,16978
"Brunei Darussalam","BRN",437483,81.35,8.964868622,86.5296116,0.838,"IPV",NA,32.4,75.86,71809
"Bhutan","BTN",771612,21.19,41.19016448,90.83775059,0.654,"OPV",42,28.6,71.78,8709
"Botswana","BWA",2351620,4.04,122.2241685,24431.00791,0.735,"OPV",84,25.8,69.59,15807
"Central African Republic","CAF",4829760,7.48,164.3706834,4554.993167,0.397,"OPV",53,18.3,53.28,661
"Canada","CAN",37742200,4.04,0.696257958,180.440108,0.929,"IPV",NA,41.4,82.43,44018
"Switzerland","CHE",8654620,214.24,0.660476504,191.3614719,0.955,"IPV",NA,43.1,83.78,57410
"Chile","CHL",19116200,24.28,9.180354964,161.7339902,0.851,"IPV",69,35.4,80.18,22767
"China","CHN",1439320000,147.67,5.427594819,22.25757477,0.761,"OPV",NA,38.7,76.91,15309
"C̫te d'Ivoire","CIV",26378300,76.4,185.8069473,3268.218494,0.538,"OPV",70,18.7,57.78,3601
"Cameroon","CMR",26545900,50.89,183.518568,4291.527563,0.563,"OPV",62,18.8,59.29,3365
"Democratic Republic of the Congo","COD",89561400,35.88,82.59781194,922.2066661,0.48,"OPV",63,17,60.68,808
"Congo","COG",5518090,15.41,402.4199612,3655.606688,0.574,"OPV",24,19,64.57,4881
"Cook Islands","COK",NA,NA,32.5980919,190.5005197,NA,"OPV",NA,NA,NA,NA
"Colombia","COL",50882900,44.22,2.338315836,151.557761,0.767,"OPV",51,32.2,77.29,13255
"Comoros","COM",869595,437.35,1.694382564,13.9381274,0.554,"OPV",57,20.4,64.32,1414
"Cabo Verde","CPV",555988,135.58,44.03813443,804.0114769,0.665,"OPV",98,25.7,72.98,6223
"Costa Rica","CRI",5094110,96.08,6.454793508,79.8009723,0.81,"IPV",64,33.6,80.28,15525
"Cuba","CUB",11326600,110.41,25.55549499,124.686664,0.783,"OPV",77,43.1,78.8,NA
"Cyprus","CYP",875899,127.66,0.149490168,11.37684151,0.887,"IPV",NA,37.3,80.98,32415
"Czechia","CZE",10709000,137.18,0.7318504,6.861422935,0.9,"IPV",NA,43.3,79.38,32606
"Germany","DEU",83783900,237.02,1.605663937,66.09635971,0.947,"IPV",85,46.6,81.33,45229
"Djibouti","DJI",988002,41.29,45.27063915,2179.337096,0.524,"OPV",27,25.4,67.11,2705
"Dominica","DMA",71991,98.57,99.83780956,386.1816684,0.742,"OPV",NA,NA,75,9673
"Denmark","DNK",5792200,136.52,5.011936728,141.049926,0.94,"IPV",90,42.3,80.9,46683
"Dominican Republic","DOM",10847900,222.87,13.24778072,759.9931897,0.756,"OPV",47,27.6,74.08,14601
"Algeria","DZA",43851000,17.35,6.11638101,29.0586953,0.748,"OPV",85,29.1,76.88,13914
"Ecuador","ECU",17643100,66.94,12.66618069,220.6016862,0.759,"OPV",70,28.1,77.01,10582
"Egypt","EGY",102334000,98,0.754533669,4.91795743,0.707,"OPV",40,25.3,71.99,10550
"Eritrea","ERI",3546430,44.3,51.07231943,707.6159496,0.459,"OPV",69,19.3,66.32,1510
"Spain","ESP",46754800,93.11,2.786944187,118.904695,0.904,"IPV",85,45.5,83.56,34272
"Estonia","EST",1326540,31.03,3.811351207,298.9277141,0.892,"IPV",65,42.7,78.74,29481
"Ethiopia","ETH",114964000,104.96,171.3047777,1345.617596,0.485,"OPV",75,19.8,66.6,1730
"Finland","FIN",5540720,18.14,1.016384007,23.21180083,0.938,"IPV",NA,42.8,81.91,40586
"Fiji","FJI",896444,49.56,14.11952943,91.63772867,0.743,"OPV",38,28.6,67.44,8703
"France","FRA",65273500,122.58,1.352427173,112.2596385,0.901,"IPV",NA,42,82.66,38606
"Micronesia (Federated States of)","FSM",115021,150.78,151.8543616,1228.183679,0.62,"IPV",NA,23,67.88,3299
"Gabon","GAB",2225730,7.86,238.750103,5570.12834,0.703,"OPV",56,23.1,66.47,16562
"United Kingdom","GBR",67886000,272.9,3.596255638,172.7239851,0.932,"IPV",NA,40.8,81.32,39753
"Georgia","GEO",3989180,65.03,26.2733465,70.50148244,0.812,"OPV",65,38.7,73.77,9745
"Ghana","GHA",31072900,126.72,49.16323625,1945.543201,0.611,"OPV",45,21.1,64.07,4228
"Guinea","GIN",13132800,51.76,70.1416204,2183.478641,0.477,"OPV",53,19,61.6,1999
"Gambia","GMB",2416660,207.57,106.9798963,2269.806796,0.496,"OPV",31,17.5,62.05,1562
"Guinea-Bissau","GNB",1968000,66.19,74.00212324,3291.522387,0.48,"OPV",45,19.4,58.32,1549
"Equatorial Guinea","GNQ",1402980,45.19,582.9492507,11451.81288,0.592,"OPV",35,22.4,58.74,22605
"Greece","GRC",10423100,83.48,1.745889812,46.39503956,0.888,"IPV",67,45.3,82.24,24574
"Grenada","GRD",112519,317.13,25.86808743,263.8519808,0.779,"OPV",NA,29.4,72.4,13594
"Greenland","GRL",56772,0.14,61.13631975,424.2364881,NA,"IPV",NA,NA,71.7,NA
"Guatemala","GTM",17915600,157.83,39.84083845,160.6646896,0.663,"OPV",63,22.9,74.3,7424
"Guam","GUM",NA,NA,29.21467957,70.11601438,NA,NA,NA,NA,NA,NA
"Guyana","GUY",786559,3.95,172.3344915,1836.791457,0.682,"OPV",67,26.3,69.91,7435
"Honduras","HND",9904610,82.81,12.74664243,99.21571302,0.634,"OPV",53,24.9,75.27,4542
"Croatia","HRV",4105270,73.73,1.96398887,9.854433575,0.851,"IPV",73,44,78.49,22670
"Haiti","HTI",11402500,398.45,110.5126825,2321.825487,0.51,"OPV",73,24.3,64,1653
"Hungary","HUN",9660350,108.04,0.493203407,6.639047256,0.854,"IPV",NA,43.4,76.88,26778
"Indonesia","IDN",273524000,145.73,34.10386546,143.1108593,0.718,"OPV",24,29.3,71.72,11189
"India","IND",1380000000,450.42,25.7593956,163.3274816,0.645,"OPV",63,28.2,69.66,6427
"Ireland","IRL",4937800,69.87,0.778868061,53.48141489,0.955,"IPV",84,38.7,82.3,67335
"Iran (Islamic Republic of)","IRN",83993000,49.83,19.16285363,30.56510694,0.783,"OPV",27,32.4,76.68,19083
"Iraq","IRQ",40222500,88.13,3.943642619,11.46934888,0.674,"OPV",NA,20,70.6,15664
"Iceland","ISL",341250,3.4,0.15545034,38.40667467,0.949,"IPV",85,37.3,82.99,46483
"Israel","ISR",8655540,402.61,6.112587353,108.7767036,0.919,"OPV",NA,30.6,82.97,33132
"Italy","ITA",60461800,205.86,3.902433598,168.8278849,0.892,"IPV",87,47.9,83.51,35220
"Jamaica","JAM",2961160,266.88,22.00268407,660.6615314,0.734,"OPV",44,31.4,74.47,8194
"Jordan","JOR",10203100,109.29,3.498545054,4.157577089,0.729,"OPV",37,23.2,74.53,8337
"Japan","JPN",126476000,347.78,0.967308525,16.22395587,0.919,"IPV",NA,48.2,84.63,39002
"Kazakhstan","KAZ",18776700,6.68,7.469179314,120.9897642,0.825,"OPV",55,30.6,73.6,24056
"Kenya","KEN",53771300,87.32,375.30385,5945.737496,0.601,"OPV",81,20,66.7,2993
"Kyrgyzstan","KGZ",6524190,32.33,44.42885287,130.9885703,0.697,"OPV",47,26.3,71.45,3393
"Cambodia","KHM",16719000,90.67,43.25587622,513.9137892,0.594,"OPV",81,25.6,69.82,3645
"Kiribati","KIR",NA,NA,31.86615849,58.07835717,NA,"OPV",NA,NA,NA,NA
"Saint Kitts and Nevis","KNA",53192,212.87,178.3490638,797.2430809,0.779,"OPV",NA,NA,76.23,24654
"Republic of Korea","KOR",51269200,527.97,6.248195232,17.70374409,0.916,NA,NA,43.4,83.03,35938
"Kuwait","KWT",4270560,232.13,0.450336076,6.104175974,0.806,"OPV",NA,33.7,75.49,65531
"Lao People's Democratic Republic","LAO",7275560,29.72,37.31382702,94.21543797,0.613,"OPV",50,24.4,67.92,6397
"Lebanon","LBN",6825440,594.56,20.45778255,21.86770465,0.744,"OPV",65,31.1,78.93,13368
"Liberia","LBR",5057680,49.13,27.5721152,1566.993815,0.48,"OPV",44,19.2,64.1,753
"Libya","LBY",6871290,3.62,12.34009556,31.43456188,0.724,"OPV",54,29,72.91,17882
"Saint Lucia","LCA",183629,293.19,15.16908643,237.686877,0.759,"OPV",NA,34.9,76.2,12952
"Sri Lanka","LKA",21413200,341.96,2.528759787,9.370533819,0.782,"OPV",50,34.1,76.98,11669
"Lesotho","LSO",2142250,73.56,1608.308769,29758.22669,0.527,"OPV",77,22.2,54.33,2851
"Lithuania","LTU",2722290,45.14,12.69110279,78.93583126,0.882,"IPV",NA,43.5,75.93,29524
"Luxembourg","LUX",625976,231.45,0.378576787,77.68502079,0.916,"IPV",NA,39.7,82.25,94278
"Latvia","LVA",1886200,31.21,8.076711468,281.0350065,0.866,"IPV",NA,43.9,75.29,25064
"Morocco","MAR",36910600,80.08,24.99503577,50.97034625,0.686,"OPV",70,29.6,76.68,7485
"Monaco","MCO",39244,19347.5,4.302903419,93.79116177,NA,"IPV",NA,NA,86.75,NA
"Republic of Moldova","MDA",4033960,123.66,7.234920576,335.7356757,0.75,"IPV",46,37.6,71.9,5190
"Madagascar","MDG",27691000,43.95,48.9446374,324.4245585,0.528,"OPV",13,19.6,67.04,1416
"Maldives","MDV",540542,1454.43,1.277134381,7.716825152,0.74,"OPV",NA,30.6,78.92,15184
"Mexico","MEX",128933000,66.44,14.65691821,104.1265494,0.779,"OPV",52,29.3,75.05,17337
"Marshall Islands","MHL",59194,295.15,39.59161478,205.4225334,0.704,"IPV",NA,NA,73.7,3819
"North Macedonia","MKD",2083380,82.6,5.375549401,6.201482968,0.774,"OPV",NA,39.1,75.8,13111
"Mali","MLI",20250800,15.2,68.45920383,1075.566972,0.434,"OPV",48,16.4,59.31,2014
"Malta","MLT",441539,1454.04,8.129186202,152.0610828,0.895,"IPV",NA,42.4,82.53,36513
"Myanmar","MMR",54409800,81.72,32.33085641,572.3572877,0.583,"OPV",NA,29.1,67.13,5592
"Montenegro","MNE",628062,46.28,8.157939872,10.2112947,0.829,"OPV",49,39.1,76.88,16409
"Mongolia","MNG",3278290,1.98,0.831348346,6.557805083,0.737,"OPV",32,28.6,69.87,11841
"Northern Mariana Islands","MNP",NA,NA,11.99813151,57.32336741,NA,NA,NA,NA,NA,NA
"Mozambique","MOZ",31255400,37.73,1486.526008,16324.71917,0.456,"OPV",67,17.7,60.85,1136
"Mauritania","MRT",4649660,4.29,2.110982939,28.86677899,0.546,"OPV",38,20.3,64.92,3598
"Mauritius","MUS",1271770,622.96,28.71667369,196.6576226,0.804,"OPV",21,37.4,74.99,20293
"Malawi","MWI",19130000,197.52,198.7577002,10393.30657,0.483,"OPV",84,18.1,64.26,1095
"Malaysia","MYS",32366000,96.25,109.0941831,133.9717646,0.81,"IPV",50,29.9,76.16,26808
"Namibia","NAM",2540920,3.08,694.3326053,14334.8286,0.646,"OPV",86,22,63.71,9542
"Niger","NER",24206600,16.96,12.49468167,342.7227995,0.394,"OPV",65,15.1,62.42,926
"Nigeria","NGA",206140000,209.59,166.3925201,1704.481715,0.539,"OPV",67,18.1,54.69,5338
"Nicaragua","NIC",6624550,51.67,56.65362261,232.7254587,0.66,"OPV",51,27.3,74.48,5321
"Niue","NIU",NA,NA,33.03050379,179.7712935,NA,"IPV",NA,NA,NA,NA
"Netherlands","NLD",17134900,508.54,5.545379352,94.83308028,0.944,"IPV",86,43.2,82.28,48473
"Norway","NOR",5421240,14.46,4.603220125,90.3704847,0.957,"IPV",78,39.7,82.4,64800
"Nepal","NPL",29136800,204.43,18.82564915,83.34590747,0.602,"OPV",63,25,70.78,2443
"Nauru","NRU",NA,NA,33.21222087,178.6755672,NA,"OPV",NA,NA,NA,NA
"New Zealand","NZL",4822230,18.21,2.090256378,39.75149632,0.931,"IPV",83,37.9,82.29,36086
"Oman","OMN",5106620,14.98,5.453757566,60.19564186,0.813,"OPV",NA,30.7,77.86,37961
"Pakistan","PAK",220892000,255.57,22.94983287,35.12079251,0.557,"OPV",12,23.5,67.27,5035
"Panama","PAN",4314770,55.13,31.76443663,429.7368791,0.815,"OPV",53,29.7,78.51,22267
"Peru","PER",32971800,25.13,151.6711991,200.9611964,0.777,"OPV",77,29.1,76.74,12237
"Philippines","PHL",109581000,351.87,219.2948359,175.9987805,0.718,"OPV",43,25.2,71.23,7599
"Palau","PLW",NA,NA,30.95301636,174.6053586,NA,"IPV",NA,NA,NA,NA
"Papua New Guinea","PNG",8947030,18.22,85.42614321,1724.249871,0.555,"OPV",61,22.6,64.5,3823
"Poland","POL",37846600,124.03,4.442616893,33.21582909,0.88,"IPV",NA,41.8,78.73,27216
"Puerto Rico","PRI",NA,NA,19.22881053,251.1549265,NA,NA,NA,NA,NA,NA
"Democratic People's Republic of Korea","PRK",NA,NA,19.61804276,34.30770134,NA,"OPV",NA,NA,NA,NA
"Portugal","PRT",10196700,112.37,2.344771412,302.5218027,0.864,"IPV",85,46.2,82.05,27937
"Paraguay","PRY",7132530,17.14,98.77132321,228.4213501,0.728,"OPV",52,26.5,74.25,8827
"Palestine","PSE",5101420,778.2,2.99173062,5.533993629,0.708,"OPV",NA,20.4,74.05,4450
"Qatar","QAT",2881060,227.32,0.979448556,6.888459186,0.848,"OPV",87,31.9,80.23,116936
"Romania","ROU",19237700,85.13,10.33104089,109.3452273,0.828,"IPV",67,43,76.05,23313
"Russian Federation","RUS",145934000,8.82,91.95330882,926.5535752,0.824,"OPV",NA,39.6,72.58,24766
"Rwanda","RWA",12952200,494.87,100.9232444,2918.377623,0.543,"OPV",89,20.3,69.02,1854
"Saudi Arabia","SAU",34813900,15.32,8.658502583,46.49840765,0.854,"OPV",67,31.9,75.13,49045
"Sudan","SDN",43849300,23.26,7.422754894,509.300536,0.51,"OPV",22,19.7,65.31,4467
"Senegal","SEN",16743900,82.33,26.44101734,644.3429669,0.512,"OPV",73,18.7,67.94,2471
"Singapore","SGP",5850340,7915.73,8.272763338,45.9498274,0.938,"OPV",76,42.4,83.62,85535
"Solomon Islands","SLB",686878,21.84,40.21689933,202.7188262,0.567,"OPV",NA,20.8,73,2206
"Sierra Leone","SLE",7976980,104.7,41.29731793,2002.18281,0.452,"OPV",42,19.1,54.7,1390
"El Salvador","SLV",6486200,307.81,68.14036752,280.7505489,0.673,"OPV",54,27.6,73.32,7292
"San Marino","SMR",33938,556.67,4.762995952,89.16975817,NA,"IPV",NA,NA,84.97,56862
"Somalia","SOM",15893200,23.5,64.10587165,380.7284027,NA,"OPV",39,16.8,57.4,NA
"Serbia","SRB",6804600,80.29,6.754083792,15.79924409,0.806,"OPV",66,41.2,76,14049
"South Sudan","SSD",11193700,NA,83.99748298,2666.913395,0.433,"OPV",20,19.2,57.85,1570
"Sao Tome and Principe","STP",219161,212.84,1.381849883,10.19115964,0.625,"OPV",NA,18.7,70.39,3053
"Suriname","SUR",586634,3.61,80.69009425,905.0728208,0.738,"OPV",55,29.6,71.68,13767
"Slovakia","SVK",5459640,113.13,2.637065925,5.082368031,0.86,"IPV",NA,41.2,77.54,30155
"Slovenia","SVN",2078930,102.62,0.428384536,5.604580924,0.917,"IPV",81,44.5,81.32,31401
"Sweden","SWE",10099300,24.72,0.689046079,60.19696816,0.945,"IPV",NA,41,82.8,46949
"Eswatini","SWZ",1160160,79.49,1449.106994,33351.43681,0.611,NA,96,21.5,60.19,7739
"Seychelles","SYC",98340,208.35,11.5418297,147.1827045,0.796,"OPV",NA,36.2,73.4,26382
"Syrian Arab Republic","SYR",17500700,NA,2.384358584,3.11767591,0.567,"OPV",32,21.7,72.7,NA
"Chad","TCD",16425900,11.83,90.69752033,1772.520168,0.398,"OPV",62,16.7,54.24,1768
"Togo","TGO",8278740,143.37,97.445865,2722.280154,0.515,"OPV",68,19.4,61.04,1430
"Thailand","THA",69800000,135.13,71.23867424,790.0172555,0.777,"OPV",75,40.1,77.15,16278
"Tajikistan","TJK",9537640,64.28,6.061069815,94.07475136,0.668,"OPV",51,23.3,71.1,2897
"Tokelau","TKL",NA,NA,32.85197825,182.7540031,NA,NA,NA,NA,NA,NA
"Turkmenistan","TKM",NA,NA,2.542455544,80.55387935,NA,"OPV",NA,NA,NA,NA
"Timor-Leste","TLS",1318440,87.18,260.6794714,319.5886967,0.606,"OPV",44,18,69.5,6570
"Tonga","TON",NA,NA,12.95493933,57.40505798,NA,"OPV",NA,NA,NA,NA
"Trinidad and Tobago","TTO",1399490,266.89,43.00544511,1057.085613,0.796,"OPV",74,36.2,73.51,28763
"Tunisia","TUN",11818600,74.23,8.625330716,36.17109837,0.74,"OPV",30,32.7,76.7,10849
"Turkey","TUR",84339100,104.91,3.335363807,6.042650078,0.82,"OPV",NA,31.6,77.69,25129
"Tuvalu","TUV",NA,NA,33.36506389,175.9156684,NA,NA,NA,NA,NA,NA
"Taiwan (Province of China)","TWN",23816800,NA,6.655875406,4.719173845,NA,"OPV",NA,42.2,80.46,NA
"United Republic of Tanzania","TZA",59734200,64.7,163.9294486,5204.54115,0.529,"OPV",74,17.7,65.46,2683
"Uganda","UGA",45741000,213.76,270.967591,6735.250628,0.544,"OPV",87,16.4,63.37,1698
"Ukraine","UKR",43733800,77.39,54.21773954,821.377703,0.779,"OPV",55,41.4,72.06,7894
"Uruguay","URY",3473730,19.75,9.836678669,296.0863389,0.817,"IPV",78,35.6,77.91,20551
"United States of America","USA",331003000,35.61,4.259981957,349.1751794,0.926,"IPV",NA,38.3,78.86,54225
"Uzbekistan","UZB",33469200,76.13,10.06390365,92.76323017,0.72,"OPV",48,28.2,71.72,6253
"Saint Vincent and the Grenadines","VCT",110947,281.79,54.77178657,500.8256578,0.738,"OPV",NA,31.8,72.53,10727
"Venezuela (Bolivarian Republic of)","VEN",28435900,36.25,4.261809942,253.3594982,0.711,"OPV",43,29,72.06,16745
"United States Virgin Islands","VIR",NA,NA,14.3430384,335.2671893,NA,NA,NA,NA,NA,NA
"Viet Nam","VNM",97338600,308.13,2.015263773,183.8085822,0.704,"OPV",65,32.6,75.4,6172
"Vanuatu","VUT",307150,22.66,42.79777665,215.9652281,0.609,"OPV",NA,23.1,70.47,2922
"Samoa","WSM",198410,69.41,42.10075126,204.8185121,0.715,"OPV",NA,22,73.32,6022
"Yemen","YEM",29826000,53.51,14.25386534,25.42908284,0.47,"OPV",27,20.3,66.12,1479
"South Africa","ZAF",59308700,46.75,383.3000952,25274.3179,0.709,NA,68,27.3,64.13,12295
"Zambia","ZMB",18384000,23,856.1334154,12447.72404,0.584,"OPV",75,17.7,63.89,3689
"Zimbabwe","ZWE",NA,NA,954.2155835,14501.73711,NA,"OPV",90,NA,NA,NA
